repo_name,pr_number,pr_title,detection_method
0xPlaygrounds/rig,868,docs(rig-967): add clause on AI assistance for coding in CONTRIBUTING.md,T2:T2:ai-assistance
0xPlaygrounds/rig,872,fix(rig-970): file URLs should be able to accept empty media type (Gemini),T1:T1:(tool suffix)
0xPlaygrounds/rig,873,fix: only youtube videos should accept null mime type (gemini),T1:T1:(tool suffix)
0xPlaygrounds/rig,925,fix(rig-991): convert nested structs to OpenAPI schema (Gemini),T1:T1:(tool suffix)
0xs34n/starknet.js,599,API doc autogenerated,T1:T1:auto-generated
adobe/helix-website,893,Blog archive: year/month grouped list (feed block) (Codex),label
adobe/helix-website,894,feat: implement blog archive for chronological post listing (Claude),label
adobe/helix-website,895,feat(blog): create blog archive page (Gemini),label
adobe/helix-website,896,Add blog archive page with posts grouped by year and month (Qwen),label
adobe/helix-website,903,[DevLive] Fix UTM tracking event-cta block,label
adobe/helix-website,910,feat(blog): add blog archive page,label
adobe/helix-website,911,feat: Add blog archive page with chronological grouping,label
adobe/helix-website,912,Add blog archive functionality,label
adobe/helix-website,913,feat: blog archive page grouped by year/month,label
adobe/helix-website,914,feat: Add blog archive page with year/month grouping,label
adobe/helix-website,945,[DevLive] Event Speaker Block - New,label
adobe/helix-website,946,fix(blog): exclude /blog/archive from blog post list,label
adobe/helix-website,947,docs: add AI-generated code disclosure requirement,label
adobe/helix-website,954,Add blog archive page with pagination,label
adobe/helix-website,955,feat: add blog archive page support,label
adobe/helix-website,956,feat: implement blog archive page to display all blog posts,label
adobe/helix-website,957,Build interactive blog archive,label
adobe/helix-website,960,feat: add service-level-objectives block with real-time SLO calculation,label
adobe/helix-website,961,feat: Add Service Level Objective (SLO) block,label
adobe/helix-website,962,feat: add service level objectives block with real-time uptime calculation,label
adobe/helix-website,963,refactor: use SLO calculator library from aemstatus.net,label
adobe/helix-website,964,fix: use green as default uptime color,label
adobe/helix-website,966,fix: resolve flaky publication-time test timing race condition,label
adobe/helix-website,967,fix: preserve aspect ratio for CDN logos in questionnaire block,label
adobe/helix-website,968,Fix image aspect ratio in questionnaire block CDN selector,label
adobe/helix-website,969,fix: maintain aspect ratio for CDN logos in questionnaire block,label
adobe/helix-website,970,fix(favicon): use AEM subcloud branding (#664),label
