respondent_id,country,years_experience,projects_contributed,ai_frequency,ai_purposes,disclosure,aware,perceived_stance,reaction,support_reasons,oppose_reasons,behavior_change,comments
1,United States (US),> 10 years,> 10 projects,Most of the time (more than 70%),Generating code from scratch;Completing boilerplate / repetitive code;Debugging / understanding existing code;Writing documentation,Rarely disclose,Yes,Permissive — AI-generated content is allowed (with or without conditions),Somewhat supported it,Clear AI rules increase my trust in the project's codebase,,"I continued contributing, but I now disclose my AI use",
2,Chile (CL),1-3 years,4-6 projects,Often (30–70%),Generating code from scratch;Completing boilerplate / repetitive code;Writing tests;Debugging / understanding existing code;Writing documentation;Translating code between languages;Learning a new codebase before contributing,Sometimes disclose (depends on the project),Yes,Permissive — AI-generated content is allowed (with or without conditions),Neutral,,,I reduced my contributions to this project,
3,Poland (PL),4-10 years,> 10 projects,Sometimes (10–30%),Generating code from scratch;Completing boilerplate / repetitive code;Writing tests;Learning a new codebase before contributing,Sometimes disclose (depends on the project),Yes,Permissive — AI-generated content is allowed (with or without conditions),Strongly supported it,Policies clarify what is acceptable before I contribute;Policies make it easier to trace and review AI-assisted contributions;Policies protect human effort from being overshadowed by mass AI submissions;Knowing which parts are AI-assisted helps reviewers give better feedback,,I continued contributing as before,
4,China (CN),1-3 years,> 10 projects,Often (30–70%),Completing boilerplate / repetitive code;Writing tests;Debugging / understanding existing code;Writing documentation;Translating code between languages;Learning a new codebase before contributing,Sometimes disclose (depends on the project),No,,,,,,"When using AI, you must have the ability to understand code, and you also need to have the ability to provide a fallback for AI."
5,Germany (DE),1-3 years,4-6 projects,Most of the time (more than 70%),Generating code from scratch;Writing tests;Debugging / understanding existing code;Writing documentation,Always disclose,Yes,Permissive — AI-generated content is allowed (with or without conditions),Strongly supported it,Policies ensure AI-generated contributions meet quality standards;Policies clarify what is acceptable before I contribute;Policies protect human effort from being overshadowed by mass AI submissions;Knowing which parts are AI-assisted helps reviewers give better feedback,,"I continued contributing, but I now disclose my AI use","I am the secondary project leader of the open source project I contribute daily to, and I have designed the AI policy myself. We do permit AI Usage, but only with complete manual review, and full disclosure."
6,Spain (ES),4-10 years,Up to 3 projects,Most of the time (more than 70%),Generating code from scratch;Completing boilerplate / repetitive code;Writing tests;Debugging / understanding existing code;Learning a new codebase before contributing,Sometimes disclose (depends on the project),Yes,Permissive — AI-generated content is allowed (with or without conditions),Somewhat supported it,Policies clarify what is acceptable before I contribute;Policies make it easier to trace and review AI-assisted contributions;Knowing which parts are AI-assisted helps reviewers give better feedback,,"I continued contributing, but I now disclose my AI use","In my opinion, AI can make mistakes that humans would rarely make, so it's useful to warn reviewers about AI use so they can be more vigilant to these other kinds of failure modes.

Also nowadays people are starting to accept that cognitive surrender may play a role in making AI-assisted code worse than it would otherwise be.

It is unfortunate that maintainers must be more vigilant with AI-assisted code, but it probably is a necessary evil if they want to keep accepting those kinds of contributions."
7,Italy (IT),4-10 years,> 10 projects,Most of the time (more than 70%),Completing boilerplate / repetitive code;Debugging / understanding existing code;Writing documentation;Translating code between languages,Always disclose,Yes,Permissive — AI-generated content is allowed (with or without conditions),Somewhat supported it,Clear AI rules increase my trust in the project's codebase;Policies help prevent license incompatibilities from AI-generated code;Knowing which parts are AI-assisted helps reviewers give better feedback,,"I continued contributing, but I now disclose my AI use",
8,France (FR),4-10 years,> 10 projects,Never,,,Yes,Permissive — AI-generated content is allowed (with or without conditions),Somewhat opposed it,,I would like much stricter policies than the ones I see in projects I collaborate on.,I continued contributing as before,Suspicion is inevitable in the absence of disclosure. Allowing *any* kind of AI-generation is unethical and shouldn't be a default choice.
9,Japan (JP),4-10 years,> 10 projects,Often (30–70%),Completing boilerplate / repetitive code;Writing tests;Debugging / understanding existing code;Translating code between languages;Learning a new codebase before contributing,Often disclose,Yes,Permissive — AI-generated content is allowed (with or without conditions),Somewhat supported it,Policies protect human effort from being overshadowed by mass AI submissions;Clear AI rules increase my trust in the project's codebase,,"I continued contributing, but I now disclose my AI use",
10,Austria (AT),4-10 years,7-10 projects,Rarely (less than 10% of my PRs involve AI),Generating code from scratch;Completing boilerplate / repetitive code;Writing tests;Debugging / understanding existing code;Writing documentation,Often disclose,Yes,Permissive — AI-generated content is allowed (with or without conditions),Somewhat supported it,Policies ensure AI-generated contributions meet quality standards;Policies clarify what is acceptable before I contribute;Policies make it easier to trace and review AI-assisted contributions;Policies protect human effort from being overshadowed by mass AI submissions;Clear AI rules increase my trust in the project's codebase,,"I continued contributing, but I now disclose my AI use",
