respondent_id,country,years_experience,projects_maintained,stance,rationale_prohibit,rationale_allow,conditions,has_policy,expected_outcomes,change_prs_submitted,change_ai_prs_submitted,change_low_quality_prs,change_code_quality_merged,change_review_workload,change_merge_latency,change_first_comment_latency,change_closure_latency,change_new_contributors,change_community_engagement,compliance,enforcement_methods,difficulties,comments
1,China (CN),> 10 years,> 15 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;AI-generated code can be high quality when properly reviewed;We trust contributors to use AI responsibly;Allowing AI attracts more contributors;Prohibiting AI use is impractical to enforce;AI tools help lower the barrier for new contributors;Community consensus to allow,"AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;AI-generated contributions must meet quality standards;AI should only be used for specific types of work (e.g., documentation, tests, but not core logic);Only certain AI tools are permitted (e.g., coding assistants yes, autonomous agents no);AI-generated content must follow project rules/guides on how AI tools may be used (e.g., allowed use cases, prohibited outputs);AI-generated content must be supplemented with prompts/tests",Yes,Improve overall code quality;Reduce review burden by filtering out low-quality PRs;Ensure contributors understand and take responsibility for submitted code;Protect the project from legal or IP risks;Maintain community trust and transparency;Block spam or low-effort AI-generated contributions,Decreased somewhat,Decreased somewhat,Decreased somewhat,Increased somewhat,Decreased somewhat,No change,Decreased somewhat,Decreased somewhat,Decreased somewhat,Increased somewhat,Mostly followed,Reviewers check for AI use during code review;Compliance relies on contributors' self-reporting and good faith,Hard to detect whether a contribution is AI-generated;Contributors unwilling to disclose AI use;Policy too vague or difficult to interpret;Lack of tools or processes to verify compliance,
2,Georgia (GE),4-10 years,6-10 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;We trust contributors to use AI responsibly;Prohibiting AI use is impractical to enforce;AI tools help lower the barrier for new contributors,"AI-generated contributions must undergo manual review;AI-generated contributions must meet quality standards;Only certain AI tools are permitted (e.g., coding assistants yes, autonomous agents no);AI-generated content must follow project rules/guides on how AI tools may be used (e.g., allowed use cases, prohibited outputs);AI-generated content must adhere to the project's existing coding style",Yes,Reduce review burden by filtering out low-quality PRs;Ensure contributors understand and take responsibility for submitted code;Maintain community trust and transparency;Encourage more thoughtful and meaningful contributions;Set expectations for new contributors,Decreased somewhat,Decreased somewhat,Decreased somewhat,Increased somewhat,Increased somewhat,No change,No change,Increased somewhat,No change,Increased a lot,Mostly followed,"Reviewers check for AI use during code review;Compliance relies on contributors' self-reporting and good faith;The policy specifies consequences for violations (e.g., PR rejection, temporary ban);Community members can flag suspected policy violations",Hard to detect whether a contribution is AI-generated;Lack of tools or processes to verify compliance,"I appreciate any contribution that comes along. But the most important part for me is that there is a human on the other side, who is wanting to contribute, not an agent that just spits out sloppy code. It is important that a person has tried before sending a pull request"
3,China (CN),4-10 years,6-10 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;AI-generated code can be high quality when properly reviewed,"AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;AI-generated contributions must meet quality standards;AI should only be used for specific types of work (e.g., documentation, tests, but not core logic);AI-generated content must follow project rules/guides on how AI tools may be used (e.g., allowed use cases, prohibited outputs);AI-generated content must adhere to the project's existing coding style",Yes,Reduce review burden by filtering out low-quality PRs;Ensure contributors understand and take responsibility for submitted code;Maintain community trust and transparency;Block spam or low-effort AI-generated contributions,No change,No change,Decreased somewhat,No change,Decreased somewhat,No change,No change,Increased somewhat,No change,No change,Mostly followed,"Reviewers check for AI use during code review;Contributors must sign/acknowledge the policy before submitting (e.g., CLA, PR checklist);Automated pipeline/tool checks that flag potential AI-generated code",Contributors unwilling to disclose AI use;Policy too vague or difficult to interpret;Lack of tools or processes to verify compliance;Community pushback or disagreement with the policy,
4,China (CN),4-10 years,6-10 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;AI-generated code can be high quality when properly reviewed;We trust contributors to use AI responsibly;Allowing AI attracts more contributors;Prohibiting AI use is impractical to enforce;AI tools help lower the barrier for new contributors,"Contributors must explicitly disclose that AI tools were used;AI-generated content must follow project rules/guides on how AI tools may be used (e.g., allowed use cases, prohibited outputs);AI-generated content must adhere to the project's existing coding style",Yes,Improve overall code quality;Reduce review burden by filtering out low-quality PRs;Ensure contributors understand and take responsibility for submitted code;Protect the project from legal or IP risks;Maintain community trust and transparency;Block spam or low-effort AI-generated contributions;Encourage more thoughtful and meaningful contributions;Set expectations for new contributors,No change,Decreased somewhat,Decreased a lot,Increased somewhat,No change,No change,No change,No change,Increased somewhat,No change,Mostly followed,Reviewers check for AI use during code review;Compliance relies on contributors' self-reporting and good faith;The policy exists but is not actively enforced,Hard to detect whether a contribution is AI-generated;Contributors unwilling to disclose AI use,"AIs are good, but only when they are used as tools well. The contributor have to take their responsibility, and remain control of their code."
5,Sweden (SE),> 10 years,6-10 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;AI-generated code can be high quality when properly reviewed;Allowing AI attracts more contributors,"AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;AI-generated contributions must meet quality standards;Only certain AI tools are permitted (e.g., coding assistants yes, autonomous agents no);AI-generated content must follow project rules/guides on how AI tools may be used (e.g., allowed use cases, prohibited outputs);AI-generated content must be supplemented with prompts/tests;AI-generated content must adhere to the project's existing coding style",Yes,Improve overall code quality;Reduce review burden by filtering out low-quality PRs;Encourage more thoughtful and meaningful contributions;Set expectations for new contributors,Increased somewhat,Increased a lot,Decreased somewhat,No change,Decreased somewhat,Decreased somewhat,Decreased somewhat,Decreased somewhat,Increased a lot,No change,Somewhat followed,Reviewers check for AI use during code review,Contributors unwilling to disclose AI use,This survey gave me a few ideas to improve. :)
6,Germany (DE),> 10 years,> 15 projects,Permissive — AI-generated content is allowed (with or without conditions),,Prohibiting AI use is impractical to enforce,AI-generated contributions must undergo manual review;AI-generated contributions must meet quality standards;AI-generated content must adhere to the project's existing coding style,Yes,Reduce review burden by filtering out low-quality PRs;Ensure contributors understand and take responsibility for submitted code;Protect the project from legal or IP risks;Maintain community trust and transparency,No change,No change,No change,No change,Decreased somewhat,No change,Decreased somewhat,Increased somewhat,No change,No change,Somewhat followed,"Reviewers check for AI use during code review;Contributors must sign/acknowledge the policy before submitting (e.g., CLA, PR checklist);The policy specifies consequences for violations (e.g., PR rejection, temporary ban);Community members can flag suspected policy violations",Lack of tools or processes to verify compliance;Insufficient maintainer bandwidth to enforce,main purpose for policy is to have to something clear to point to when closing slop PRs
7,France (FR),> 10 years,6-10 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;Allowing AI attracts more contributors;AI tools help lower the barrier for new contributors,AI-generated contributions must undergo manual review;AI-generated contributions must meet quality standards;AI-generated content must adhere to the project's existing coding style,Yes,Improve overall code quality;Maintain community trust and transparency;Block spam or low-effort AI-generated contributions;Encourage more thoughtful and meaningful contributions;Set expectations for new contributors,Increased somewhat,Increased somewhat,Increased somewhat,No change,Increased somewhat,No change,No change,No change,Increased somewhat,No change,Mostly followed,Reviewers check for AI use during code review,Insufficient maintainer bandwidth to enforce,
8,Germany (DE),> 10 years,6-10 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;AI-generated code can be high quality when properly reviewed;Prohibiting AI use is impractical to enforce,AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;AI-generated contributions must meet quality standards;AI-generated content must adhere to the project's existing coding style;Contributors must first open an issue and discuss design with me and get an approval. They should understand the code.,Yes,Improve overall code quality;Reduce review burden by filtering out low-quality PRs;Ensure contributors understand and take responsibility for submitted code;Maintain community trust and transparency;Block spam or low-effort AI-generated contributions;Encourage more thoughtful and meaningful contributions,Decreased somewhat,Decreased somewhat,Decreased somewhat,Increased somewhat,Decreased a lot,Decreased somewhat,Decreased somewhat,Decreased a lot,Decreased somewhat,Increased somewhat,Somewhat followed,Reviewers check for AI use during code review;Compliance relies on contributors' self-reporting and good faith,Hard to detect whether a contribution is AI-generated;Contributors claiming to understand the code but they don't.,
9,China (CN),4-10 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;AI-generated code can be high quality when properly reviewed;We trust contributors to use AI responsibly;AI tools help lower the barrier for new contributors,"AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;AI-generated contributions must meet quality standards;AI-generated content must follow project rules/guides on how AI tools may be used (e.g., allowed use cases, prohibited outputs);AI-generated content must adhere to the project's existing coding style",Yes,Improve overall code quality;Ensure contributors understand and take responsibility for submitted code;Encourage more thoughtful and meaningful contributions,Increased somewhat,No change,Increased somewhat,Decreased somewhat,Decreased somewhat,No change,No change,No change,Increased somewhat,No change,Not followed at all,"Contributors must sign/acknowledge the policy before submitting (e.g., CLA, PR checklist);The policy specifies consequences for violations (e.g., PR rejection, temporary ban)",Hard to detect whether a contribution is AI-generated;Contributors unwilling to disclose AI use;Lack of tools or processes to verify compliance;Insufficient maintainer bandwidth to enforce,
10,United States (US),> 10 years,6-10 projects,Prohibit — AI-generated content is not allowed,AI-generated code is often low-quality or contains errors;Security risks from AI-generated vulnerabilities;Intellectual property and licensing concerns;Concerns about security vulnerabilities introduced via AI-generated code;Difficult to verify AI-generated code quality;Maintainer bandwidth is too limited to review AI-generated PRs adequately;Community consensus to prohibit;Steam disclosure requirements,,,Yes,Reduce review burden by filtering out low-quality PRs;Ensure contributors understand and take responsibility for submitted code;Maintain community trust and transparency,No change,No change,No change,No change,No change,No change,No change,No change,Increased somewhat,Increased somewhat,Fully followed,"Reviewers check for AI use during code review;Compliance relies on contributors' self-reporting and good faith;The policy specifies consequences for violations (e.g., PR rejection, temporary ban)",GitHub Copilot cannot be blocked from a project,
11,China (CN),4-10 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;AI-generated code can be high quality when properly reviewed;We trust contributors to use AI responsibly;Allowing AI attracts more contributors;Prohibiting AI use is impractical to enforce,"AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;AI-generated contributions must meet quality standards;AI should only be used for specific types of work (e.g., documentation, tests, but not core logic);AI-generated content must be supplemented with prompts/tests",Yes,Improve overall code quality;Reduce review burden by filtering out low-quality PRs;Ensure contributors understand and take responsibility for submitted code;Protect the project from legal or IP risks,Decreased somewhat,Decreased somewhat,Decreased somewhat,Increased somewhat,Decreased somewhat,No change,Decreased somewhat,Decreased somewhat,Decreased somewhat,Increased somewhat,Somewhat followed,Reviewers check for AI use during code review;Compliance relies on contributors' self-reporting and good faith;Community members can flag suspected policy violations,Hard to detect whether a contribution is AI-generated;Contributors unwilling to disclose AI use;Policy too vague or difficult to interpret;Lack of tools or processes to verify compliance;Insufficient maintainer bandwidth to enforce,
12,India (IN),4-10 years,6-10 projects,Permissive — AI-generated content is allowed (with or without conditions),,We trust contributors to use AI responsibly;Prohibiting AI use is impractical to enforce;Community consensus to allow,"AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;AI-generated contributions must meet quality standards;AI-generated content must follow project rules/guides on how AI tools may be used (e.g., allowed use cases, prohibited outputs);AI-generated content must adhere to the project's existing coding style",Yes,Reduce review burden by filtering out low-quality PRs;Ensure contributors understand and take responsibility for submitted code;Maintain community trust and transparency;Block spam or low-effort AI-generated contributions;Set expectations for new contributors,Increased somewhat,Increased a lot,Increased a lot,Decreased somewhat,Increased a lot,Increased a lot,Increased a lot,Decreased somewhat,Increased somewhat,Increased a lot,Rarely followed,"Reviewers check for AI use during code review;Contributors must sign/acknowledge the policy before submitting (e.g., CLA, PR checklist);The policy exists but is not actively enforced",Hard to detect whether a contribution is AI-generated;Contributors unwilling to disclose AI use;Insufficient maintainer bandwidth to enforce;Community pushback or disagreement with the policy;Policy does not cover all AI use scenarios,Policy is just a note same as piece of paper. Hard to enforce and detect it. Not just code contribution but number of false AI generated security issues reported is now 100x. We get more AI based security issues reported compared to pull request.
13,Turkey (TR),4-10 years,> 15 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity,AI-generated contributions must undergo manual review;AI-generated contributions must meet quality standards;AI-generated content must be supplemented with prompts/tests;AI-generated content must adhere to the project's existing coding style,Yes,Reduce review burden by filtering out low-quality PRs;Ensure contributors understand and take responsibility for submitted code,No change,Increased a lot,Decreased somewhat,Increased somewhat,Increased somewhat,Increased somewhat,No change,No change,No change,No change,Somewhat followed,Reviewers check for AI use during code review,-,
14,Austria (AT),4-10 years,11-15 projects,Prohibit — AI-generated content is not allowed,AI-generated code is often low-quality or contains errors;Security risks from AI-generated vulnerabilities;Intellectual property and licensing concerns;Concerns about security vulnerabilities introduced via AI-generated code;Difficult to verify AI-generated code quality,,,No,,,,,,,,,,,,,,,
15,Brazil (BR),> 10 years,> 15 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;AI-generated code can be high quality when properly reviewed;We trust contributors to use AI responsibly;Allowing AI attracts more contributors;Prohibiting AI use is impractical to enforce;AI tools help lower the barrier for new contributors,"AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;AI-generated contributions must meet quality standards;AI should only be used for specific types of work (e.g., documentation, tests, but not core logic);Only certain AI tools are permitted (e.g., coding assistants yes, autonomous agents no);AI-generated content must follow project rules/guides on how AI tools may be used (e.g., allowed use cases, prohibited outputs);AI-generated content must be supplemented with prompts/tests",Yes,Improve overall code quality;Reduce review burden by filtering out low-quality PRs;Ensure contributors understand and take responsibility for submitted code;Protect the project from legal or IP risks;Maintain community trust and transparency;Block spam or low-effort AI-generated contributions,Decreased somewhat,Decreased somewhat,Decreased somewhat,Increased somewhat,Decreased somewhat,Decreased somewhat,Decreased somewhat,Decreased somewhat,Decreased somewhat,No change,Mostly followed,"Reviewers check for AI use during code review;The policy specifies consequences for violations (e.g., PR rejection, temporary ban);Community members can flag suspected policy violations",Hard to detect whether a contribution is AI-generated;Contributors unwilling to disclose AI use;Policy too vague or difficult to interpret;Lack of tools or processes to verify compliance;Insufficient maintainer bandwidth to enforce,
16,Malta (MT),4-10 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;Prohibiting AI use is impractical to enforce,AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;AI-generated contributions must meet quality standards,No,,,,,,,,,,,,,,,"We don't. However I do review every contribution myself so, I still ensure that all submissions align with our guidelines and standards. If there are any concerns or issues, I address them directly with the contributor to provide feedback before they are merged. I also already had to block people from interacting with the org due to AI slop."
